article_title,url,country,article_quality,revision_id,region,population
Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,Start,1233202991,SOUTH ASIA,42.4
Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,B,1230459615,SOUTH ASIA,42.4
Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,Start,1225661708,SOUTH ASIA,42.4
Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,Stub,1234741562,SOUTH ASIA,42.4
Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,Start,1195651393,SOUTH ASIA,42.4
Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,Start,1235521766,SOUTH ASIA,42.4
Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,Start,1176429234,SOUTH ASIA,42.4
Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,Start,1247931713,SOUTH ASIA,42.4
Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,Start,1225385278,SOUTH ASIA,42.4
Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,Start,1226326055,SOUTH ASIA,42.4
Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,Start,1244521219,SOUTH ASIA,42.4
Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,Stub,1231655023,SOUTH ASIA,42.4
Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,Start,1237694188,SOUTH ASIA,42.4
Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,Stub,1227635806,SOUTH ASIA,42.4
Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,Start,1248505877,SOUTH ASIA,42.4
Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,Stub,1197443408,SOUTH ASIA,42.4
Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,Stub,1134129082,SOUTH ASIA,42.4
